DesignName,ParticipantID,TrialID,Block1,Block2,D,F,Z
MoMote,5,260,1,20,Phone,Right,Close
MoMote,5,261,1,21,Phone,Top,Far
MoMote,5,262,1,22,Phone,Left,Close
MoMote,5,263,1,23,Phone,Bottom,Normal
MoMote,5,264,1,24,Phone,Bottom,Far
MoMote,5,265,1,25,Phone,Top,Close
MoMote,5,266,1,26,Phone,Left,Normal
MoMote,5,267,1,27,Phone,Top,Normal
MoMote,5,268,1,28,Phone,Back,Far
MoMote,5,269,1,29,Phone,Right,Normal
MoMote,5,270,1,30,Phone,Back,Close
MoMote,5,271,2,1,MoMote,Bottom,Normal
MoMote,5,272,2,2,MoMote,Back,Close
MoMote,5,273,2,3,MoMote,Left,Normal
MoMote,5,274,2,4,MoMote,Right,Close
MoMote,5,275,2,5,MoMote,Top,Normal
MoMote,5,276,2,6,MoMote,Left,Close
MoMote,5,277,2,7,MoMote,Bottom,Close
MoMote,5,278,2,8,MoMote,Right,Normal
MoMote,5,279,2,9,MoMote,Left,Far
MoMote,5,280,2,10,MoMote,Back,Far
MoMote,5,281,2,11,MoMote,Top,Close
MoMote,5,282,2,12,MoMote,Top,Far
MoMote,5,283,2,13,MoMote,Back,Normal
MoMote,5,284,2,14,MoMote,Bottom,Far
MoMote,5,285,2,15,MoMote,Right,Far
MoMote,5,286,2,16,MoMote,Bottom,Close
MoMote,5,287,2,17,MoMote,Left,Far
MoMote,5,288,2,18,MoMote,Back,Normal
MoMote,5,289,2,19,MoMote,Right,Far
MoMote,5,290,2,20,MoMote,Right,Close
MoMote,5,291,2,21,MoMote,Top,Far
MoMote,5,292,2,22,MoMote,Left,Close
MoMote,5,293,2,23,MoMote,Bottom,Normal
MoMote,5,294,2,24,MoMote,Bottom,Far
MoMote,5,295,2,25,MoMote,Top,Close
MoMote,5,296,2,26,MoMote,Left,Normal
MoMote,5,297,2,27,MoMote,Top,Normal
MoMote,5,298,2,28,MoMote,Back,Far
MoMote,5,299,2,29,MoMote,Right,Normal
MoMote,5,300,2,30,MoMote,Back,Close
MoMote,6,301,1,1,MoMote,Bottom,Far
MoMote,6,302,1,2,MoMote,Back,Normal
MoMote,6,303,1,3,MoMote,Left,Far
MoMote,6,304,1,4,MoMote,Right,Normal
MoMote,6,305,1,5,MoMote,Top,Far
MoMote,6,306,1,6,MoMote,Left,Normal
MoMote,6,307,1,7,MoMote,Bottom,Normal
MoMote,6,308,1,8,MoMote,Right,Far
MoMote,6,309,1,9,MoMote,Right,Close
MoMote,6,310,1,10,MoMote,Left,Close
