DesignName,ParticipantID,TrialID,Block1,Block2,D,F,Z,Time,SearchTime,MenuTime,ErrorCount
Momote,3,157,2,7,MoMote,Top,Normal,3529.807,1915,1613.814,0
Momote,3,158,2,8,MoMote,Left,Far,11700.643,9582,2117.694,0
Momote,3,159,2,9,MoMote,Left,Close,8775.882,7061,1714.801,0
Momote,3,160,2,10,MoMote,Back,Close,6656.619,5043,1612.796,0
Momote,3,161,2,11,MoMote,Right,Normal,3430.007,2421,1008.787,0
Momote,3,162,2,12,MoMote,Top,Close,4841.72,3530,1311.14,0
Momote,3,163,2,13,MoMote,Bottom,Far,23401.756,22392,1008.8,1
Momote,3,164,2,14,MoMote,Bottom,Close,7564.539,5849,1715.039,0
Momote,3,165,2,15,MoMote,Right,Close,5346.132,4034,1311.188,0
Momote,3,166,2,16,MoMote,Top,Normal,3126.625,2420,706.148,0
Momote,3,167,2,17,MoMote,Left,Close,8977.578,6153,2824.565,0
Momote,3,168,2,18,MoMote,Bottom,Far,13516.783,11398,2118.686,0
Momote,3,169,2,19,MoMote,Right,Close,4438.041,3227,1210.946,0
Momote,3,170,2,20,MoMote,Left,Normal,5849.635,4336,1512.803,0
Momote,3,171,2,21,MoMote,Top,Close,4740.867,3631,1109.217,0
Momote,3,172,2,22,MoMote,Back,Normal,4639.754,3530,1109.047,0
Momote,3,173,2,23,MoMote,Top,Far,8775.268,7060,1714.44,0
Momote,3,174,2,24,MoMote,Bottom,Close,8270.779,6355,1915.458,0
Momote,3,175,2,25,MoMote,Right,Normal,2724.116,1715,1008.949,0
Momote,3,176,2,26,MoMote,Back,Far,9078.096,8069,1008.937,0
Momote,3,177,2,27,MoMote,Right,Far,12104.456,10490,1613.712,0
Momote,3,178,2,28,MoMote,Back,Close,6152.559,4942,1210.424,0
Momote,3,179,2,29,MoMote,Left,Far,10188.139,9078,1109.955,0
Momote,3,180,2,30,MoMote,Bottom,Normal,5849.938,4842,1007.872,0
Momote,4,181,1,1,MoMote,Bottom,Close,9380.91,8170,1210.628,0
Momote,4,182,1,2,MoMote,Bottom,Far,11601.019,10288,1312.453,0
Momote,4,183,1,3,MoMote,Left,Close,8069.441,6959,1109.491,0
Momote,4,184,1,4,MoMote,Left,Far,12002.685,10591,1411.542,0
